benefits,company_description,company_locations,company_logo,company_name,company_website,department,description,employmentType,excerpt,lastUpdated,requirements,title,url
"Note: If interested please send your updated resume to tamilarasan.govindaraj@two95intl.com  and include your salary  requirement along with your contact details with a suitable time when we can reach you. If you know of anyone in your sphere of contacts, who would be a perfect match for this job then, we would appreciate if you can forward this posting to them with a copy to","Two95 International Inc. , is a global technology firm specializing in enterprise solutions that evolves over BPM, Mobility, Cloud, Analytics, E-commerce &amp; Social Business. Our client base includes several Fortune 500 and mid-market companies across industries and varying geographies. With vast knowledge and knowhow of 20 years in the IT field, we have been chosen as INC500 fastest growing company in North America in 2013. With the accolade of being ranked 11th in Human Resources by INC500, we have also been nominated as the 3rd fastest growing company in South Jersey by SJBM. We are ranked among the Top 20 IT Companies in New Jersey based on the year-on-year growth for the last 3 years. With a seasoned team of highly qualified personnel, our offices are located in New Jersey, Canada and India. Our Specialties
Direct Hire, Contingent Staffing, Managed Outsourced Services. .","Englewood, New Jersey, United States",https://workablehr.s3.amazonaws.com/uploads/account/logo/77073/Logo_Extended.jpg,Two95 International Inc.,http://two95intl.com,information Technology,"Title – PL/SQL Developer Location – Englewood, NJ Rate - $Open Duration – 6+ Months Contract",Contract,"Title – PL/SQL Developer  Location – Englewood, NJ  Rate - $Open  Duration – 6+ Months Contract",1582588800,"Job Description:.; • Developed Stored Procedures, Functions, Packages and SQL Scripts using PL/SQL.; • Involved in creation of Conceptual Modeling covering all the business requirements.; • Created process force and deployed into run time depository using ware house builder; • Involved in logical modeling and physical modeling of application.; • Developed SQL scripts, packages and procedures for Business rules check to implement business; rules.; • Developed SQL and PL/SQL scripts to transfer tables across the schemas and databases.; • Loaded the data into database tables using SQL*loader from text and excel files.; • Developed data model, SQL Queries, SQL Query tuning process and Schemas.",Database Developer,https://jobs.workable.com/view/i7C2BtWNpNMZ7N8K3Ah6FC/pl%2Fsql-developer-in-englewood-at-two95-international-inc.
,"Two95 International Inc. , is a global technology firm specializing in enterprise solutions that evolves over BPM, Mobility, Cloud, Analytics, E-commerce &amp; Social Business. Our client base includes several Fortune 500 and mid-market companies across industries and varying geographies. With vast knowledge and knowhow of 20 years in the IT field, we have been chosen as INC500 fastest growing company in North America in 2013. With the accolade of being ranked 11th in Human Resources by INC500, we have also been nominated as the 3rd fastest growing company in South Jersey by SJBM. We are ranked among the Top 20 IT Companies in New Jersey based on the year-on-year growth for the last 3 years. With a seasoned team of highly qualified personnel, our offices are located in New Jersey, Canada and India. Our Specialties
Direct Hire, Contingent Staffing, Managed Outsourced Services. .","New York, New York, United States",https://workablehr.s3.amazonaws.com/uploads/account/logo/77073/Logo_Extended.jpg,Two95 International Inc.,http://two95intl.com,IT,"Title – BI DeveloperPosition – Fulltime Location – NYCSalary - $Open(Best Possible) Job Description: Demonstrated experience with full BI Administration cycle. Experience with BI architecture (tables, attributes, facts, hierarchies, etc. ) Proficient in designing and developing reporting solutions Experience with Data mining; advanced analytics and predictive analysis is a plus Experience with advanced MicroStrategy features (distribution services, transaction services, mobile, etc. ) is a plus Note: If interested please send your updated resume and include your rate requirement along with your contact details with a suitable time when we can reach you. If you know of anyone in your sphere of contacts, who would be a perfect match for this job then, we would appreciate if you can forward this posting to them with a copy to us. We look forward to hearing from you at the earliest!. ",Full-time,"Title – BI DeveloperPosition – Fulltime Location – NYCSalary - $Open(Best Possible)&amp;nbsp;Job Description: Demonstrated experience with full BI Administration cycle. Experience with BI architecture (tables, attributes, facts, hierarchies, etc.) Prof...",1703203200,,Database Developer,https://jobs.workable.com/view/weEdNahWmQhxZUwqtxq6Bg/bi-developer-in-new-york-at-two95-international-inc.
"RouteSmart offers its employees numerous opportunities for professional development. Our goal is to provide our employees the chance to learn and grow as the company grows. We recognize that our employees are our most valuable asset. The work they do is key to our ability to provide high quality service to our clients. We also recognize that our employees are unique individuals with their own lifestyle and interests. RouteSmart Technologies pays a significant share of the cost of benefits for our employees. We believe our investment makes good business sense by helping to create a positive and productive work environment. Among the benefits we offer are:; • Medical/Dental/Vision/STD &amp; LTD Plans; • Employer paid Life Insurance Plan; • Employee Training &amp; Development; • 401(k) Retirement Savings Plan w/ Employer Match; • Vacation/Sick/Holiday Leave; • Tuition Reimbursement; • Flex hours; • Casual Dress; RouteSmart Technologies is proud to be an equal opportunity workplace. Individuals seeking employment at RouteSmart Technologies are considered without regards to race, color, religion, national origin, age, sex, marital status, ancestry, physical or mental disability, veteran status, or sexual orientation.; We do not accept resumes from headhunters, placement agencies, or other suppliers that have not signed a formal agreement with us. This position does not qualify for sponsorship.; All candidates must have legal authorization to permanently live and work in the United; States.","RouteSmart Technologies Delivers Like No OtherLeading organizations in the newspaper, postal and parcel delivery, public works and utilities industries have to come to rely on RouteSmart Technologies to solve their complex routing problems. With an unrivaled combination of insight, experience, and industry specialization, RouteSmart Technologies has established itself as a leader in vehicle route optimization software technology for the community of clients we serve. Driven by a passion for vehicle routing technology that achieves measurable results, RouteSmart route optimization technology is continually being enhanced by an expert team focused exclusively on the needs of our clients. Comprised of the leading geospatial technologies from Esri and HERE (formerly NAVTEQ and Nokia Maps), RouteSmart software integrates with client-side systems to form a complete routing solution for meeting the demanding operational needs of the industries we serve. In our fourth decade of providing sustainable route optimization solutions that sweat the details of solving the most complex routing challenges with the highest degree of precision and processing performance, RouteSmart Technologies and our network of exclusive distributors is passionate about driving costs and inefficiencies out of the routing operations of our customers. With deployments that span the globe, RouteSmart Technologies software forms the backbone of organizations that are responsible for delivering or servicing millions of addresses on a daily basis. ","Melville, New York, United States",https://workablehr.s3.amazonaws.com/uploads/account/logo/577261/logo,RouteSmart Technologies Inc,https://www.routesmart.com/,Product Development,"We are looking for a passionate Software Engineer to build and support a variety of web applications and services. These include the development of a suite of cross-platform routing systems that often feature both complex GIS and mapping functionality. The Software Engineer responsibilities include gathering user requirements, defining system functionality and writing code in various languages, C# . NET Core, ReactJS, and C++. You will work with other Software Engineers and Product Managers throughout the software development life cycle. In this role, you should be a team player with a keen eye for detail and problem-solving skills who’s ultimate goal is to build high-quality, innovative, and fully performing software that complies with coding standards and technical design. The typical base pay range for this position at the start of employment is expected to be between $100, 000-$110, 000 per year. RouteSmart Technologies, Inc. has different base pay ranges for different work locations within the US and base pay will vary based on experience. Responsibilities Write well written, testable, and efficient code by using software development best practices that comply with the specifications provided by team lead and/or supervisor Demonstrate the ability to troubleshoot, debug, and upgrade existing software code Write various back-end services that can be leveraged by web designers to create web products Research new industry coding standards that can be used to improve the team’s ability to create secure, high-quality, high-performance applications Other duties/responsibilities as assigned ",Full-time,We are looking for a passionate Software Engineer to build and support a variety of web applications and services. These include the development of a suite of cross-platform routing systems that often feature both complex GIS and mapping functionality....,1728864000,"Proficient in C#, .NET Core development using Visual Studio and other Microsoft development tools; Familiarity with PostgresSQL and writing basic database queries; Understanding web application security as well as code development best practices; Bachelor’s Degree in Computer Science, Information Systems, or a related field; 2+ years minimum experience as a programmer writing client or server side components; 3-5 years experience writing and maintaining REST API services; Familiarity with GIS technology from ESRI (ArcGIS Maps SDK for Javascript, ArcGIS Pro SDK addins)",Database Developer,https://jobs.workable.com/view/qDzTjYEhQJ9dK2Y4MmoTsZ/hybrid-software-engineer-(hybrid)-in-melville-at-routesmart-technologies-inc
"Stellar medical, dental, vision, disability, and life insurance; Daily private Chef lunch, curated to personal diets; Transportation Benefits; 401K matching contributionsFlexible PTO; Visa/Green Card SponsorshipCareer growth support through sponsoring learning opportunities and mentorship; Verneek is an early-stage deep-tech AI startup, based in the NYC area, founded by a team of leading AI research scientists and backed by a group of world-renowned business and scientific luminaries. Our mission is to build the most helpful AI for anyone, anywhere, at anytime. We are obsessed with what we do and we have fun doing it. Read more about verneek here: https://www.verneek.com/about-verneek and make sure to watch all our yearly recaps here: https://www.verneek.com/culture.; Verneek Culture; It’s often hard to put “culture” into words, perhaps you can get a visual sense of our culture here: https://www.verneek.com/culture.. We all obsessively love what we do, care about each other, share all sorts of meals together, celebrate all kinds of events together, and work tirelessly with the excitement of making a difference through AI innovation. We are enjoying the journey, and going through all the ups and downs together.; Although we have come a very long way in setting the foundations of our unique company, but we still have ways to go and you can help shape our culture!; Annual Salary Range: $40K-$200K","About VerneekVerneek is an early-stage deep-tech AI startup, based in the NYC area, founded by a team of leading AI research scientists and backed by a group of world-renowned business and scientific luminaries. Our mission is to build the most helpful AI for anyone, anywhere, at any time. We are obsessed with what we do and we have fun doing it. Read more about verneek here: https://www. verneek. com/about-verneek and make sure to watch all our yearly recaps here: https://www. verneek. com/culture. Verneek CultureIt’s often hard to put “culture” into words, perhaps you can get a visual sense of our culture here: https://www. verneek. com/culture. We all obsessively love what we do, care about each other, share all sorts of meals together, celebrate all kinds of events together, and work tirelessly with the excitement of making a difference through AI innovation. We are enjoying the journey, and going through all the ups and downs together. Although we have come a very long way in setting the foundations of our unique company, but we still have ways to go and you can help shape our culture! The core Verneek team plays a crucial role in further shaping the culture of the company moving forward. We are looking for highly ambitious and tremendously driven individuals who can take the lead in driving various aspects of the company, and help us shape its lasting impact. ","New York, New York, United States",https://workablehr.s3.amazonaws.com/uploads/account/logo/456770/logo,Verneek,https://www.verneek.com,Infrastructure,"Do you want to be part of the core team building truly AI-native helpful experiences across the consumer space? Do you want to be at the cutting edge of what is next in the AI space but apply it to something of true value in the real world? At Verneek, we are on a mission to build the most helpful AI that augments the knowledge of anyone, anywhere, at any time! As opposed to the mainstream, we believe that the way to bring domain-general AI to the masses is to apply it one domain at a time, through AIs with deep domain expertise. We were on this journey before it got the hottest thing on the face of the planet! Come join some OGs in this so-called ""generative AI"" space and invent what is yet to be the future!If you are craving to learn something new every day while working at the cutting edge of AI, Verneek could be a perfect opportunity for you: a deep-tech AI startup, where you'd get to learn, innovate, and leave your mark every single hour of every day. We are looking for a stellar &amp; highly ambitious Scala engineer as core employee to help build complex AI/NLP models supporting the Verneek AI platform! You'll get to work on fundamental AI research problems, but all grounded on our proprietary AI platform. It is all much more rewarding and influential than working on beating AI benchmarks! :) Every day, you'll get to solve very unique, highly complex, and socially impactful problems. This is an early-stage startup, so we'll be moving super-fast and there will be no legacy obstacles on your way to make a significant impact. Whatever you do every hour of every day counts!!Responsibilities Design and implement complex software systems using Scala and related technologies such ZIO. Collaborate with other team members to design and develop efficient algorithms Write clear, efficient, and maintainable code with a focus on scalability, fault tolerance, and performance Troubleshoot and resolve software bugs and issues in a timely manner Develop and maintain automated tests to ensure the quality of code Participate in code reviews to maintain code standards and ensure high-quality work Stay up-to-date with emerging trends and technologies in software engineering and make recommendations for future development efforts ",Full-time,"Do you want to be part of the core team building truly AI-native helpful experiences across the consumer space? Do you want to be at the cutting edge of what is next in the AI space but apply it to something of true value in the real world? At Verneek,...",1721952000,"Bachelor's degree in Computer Science or a related field; At least 3 years of professional experience in Scala development; Experience with Scala frameworks such as ZIO, Cats, etc.; Familiarity with distributed computing and message queuing systems; Strong understanding of functional programming concepts and software design principles; Proficiency with database systems like MySQL, PostgreSQL, etc.; Excellent analytical and problem-solving skills",Database Developer,https://jobs.workable.com/view/eX8z9ypjDvNfWYbLbVfv2N/scala-software-engineer-in-new-york-at-verneek
"Top-notch medical, dental, vision and prescription coverage; Wellness program; Parental leave; 401K match and savings plan; Flexible spending accounts; Life insurance; Paid Holidays; Paid Time off; Additional benefits","Samsung SDS is the digital arm of the Samsung group and a global provider of cloud and digital transformation innovations. Samsung SDS delivers enterprise-grade solutions and services in cloud, secure mobility, analytics / AI, digital marketing and digital workspace. We enable our customers in government, financial services, healthcare, and other industries to drive business in a hyper-connected economy helping them to increase productivity, safeguard assets, and make smarter decisions. ","Ridgefield Park, New Jersey, United States",https://workablehr.s3.amazonaws.com/uploads/account/logo/482148/logo,Samsung SDS America,https://www.samsungsds.com/us,Cloud Business Division,"Samsung SDSA is seeking for a Senior Enterprise AWS Solution Architect to support growth strategy design to generate new business opportunities for Cloud Services and Products in order to achieve company’s revenue goals. Cloud Business Team is on a mission to provide best in class Cloud service offering to our clients and are looking for a Senior Enterprise AWS Solution Architect to partner with our Cloud Business Team from business and technical perspective. This ranges from executive-level discussion on overall cloud strategy to deep technical engagements with customer development, infrastructure and architecture teams. As a trusted customer advisor, you'll need to understand best practices around advanced Cloud services and solutions. You will build and architect solutions for a broad range of customer use cases such as hybrid architectures, migration and application modernization initiatives. The ability to connect technology with measurable business value is critical and you should have a demonstrated ability to think strategically about business, products, and technical challenges. The candidate must have excellent written and verbal communication skills, with the ability to earn the trust with customers and partners at any level. We are looking for a candidate that can help to build and grow our Cloud services business. As a Sr. Enterprise Solution Architect, you will be responsible to develop white papers, blogs, sample dashboards, labs, and presentations to evangelize design patterns and best practices. You will also mentor and train the broader Sales and Solutions Architect team at Samsung SDSA, teaching them how to integrate applications appropriately into customer architectures. This position is based in our office in Ridgefield Park, NJ and is expected to work on a hybrid schedule - 3 days in the office, 2 days from home. Responsibilities: Create solutions and accelerators designed to differentiate Samsung SDSA Cloud MSP services in the market Work with client teams to understand their business and technical needs. Develop solutions that make the best use of the AWS Cloud platform and services. Collaborate with Samsung SDSA sales, delivery and support teams to ensure customer success. Partner with Account teams, Business Development Managers and Service teams to accelerate customer adoption and revenue goals. Be the voice of the customer to service engineering teams, providing product improvement feedback to Samsung SDSA practice and delivery team and accelerating the adoption of new features in customer deployments. Sharing best-practice knowledge from engineering and field teams, including reference architectures and patterns, with the worldwide Samsung SDSA solution architect community in order to build a strong worldwide Cloud community. Conduct training, workshops, and other content to educate internal and customers. ",Full-time,Samsung SDSA is seeking for a Senior Enterprise AWS Solution Architect to support growth strategy design to generate new business opportunities for Cloud Services and Products in order to achieve company’s revenue goals.Cloud Business Team is on a miss...,1736726400,"Bachelor Degree in Computer Science or similar.; 8+ years of years of design/implementation/consulting experience with enterprise applications.; 8+ years in customer facing roles.; Experience in enterprise/digital transformation.; Experience working effectively across internal and external organizations.; Experience working with customers and stakeholders and driving outcomes in a pre-sales capacity.; Samsung SDS America, Inc.; Knowledge of the cloud ecosystem and development lifecycle.; Working knowledge of modern software development practices and technologies such as agile methodologies and DevOps.; Experience rewriting legacy applications to modern equivalents.; Demonstrated in-depth knowledge of concepts, design and implementation patterns of at least one technology area.; Understanding of business drivers, economic considerations, and operational considerations for developing and deploying go-to-market offerings with partners.; Ability to travel up to 25% in the U.S.; Eligibility to work in the US for any employer without restrictions.; Broad technology experience including: cloud architecture, applications development, relational databases, NoSQL databases, analytics, machine learning, networking, security, storage, DevOps, containers, serverless, CI/CD, management and monitoring, cloud migrations, IT transformation.; A demonstrated record of effective collaboration across multiple internal organizations and interactions with partners and customers.",Database Developer,https://jobs.workable.com/view/hLrvH5ncyxWecRxBUP5AfM/hybrid-senior-enterprise-aws-solution-architect-in-ridgefield-park-at-samsung-sds-america
"Competitive compensation; Ample career and professional growth opportunities; New Headquarters with an open floor plan to drive collaboration; Health, dental, and vision insurance; Pre-tax savings plans and transit/parking programs; 401K with competitive employer match; Volunteer and philanthropic activities throughout the year; Educational and social events; The amazing opportunity to work for a high-flying performance marketing company!","Fluent, Inc (NASDAQ: FLNT) is a leader in customer acquisition, leveraging its direct response expertise to drive engagement and power discovery for leading brands. Backed by proprietary data science, Fluent connects data-rich consumers to targeted offers, allowing them to find new opportunities, content, and products that enhance their lives. Established in 2010, and headquartered in New York City, Fluent's team of experts have invested over $1B in media across its digital media portfolio to build a global audience available through 500+ DSPs, DMPs, online publishers, and programmatic platforms. For more information, visit www. fluentco. com. ","New York, New York, United States",https://workablehr.s3.amazonaws.com/uploads/account/logo/256270/logo,"Fluent, LLC",http://www.fluentco.com/company/careers/,FP&A,"Seeking strategic Finance Director to support our lean FP&amp;A team. Reporting to the CFO, this individual will help enable data-driven decisioning across the business. Significant first-hand engagement with the full C-suite of a Nasdaq-listed public company. This is an ideal fit for someone who is comfortable in a fast-paced, challenging startup-like environment, while wanting to join a fun and collaborative team. You will be collaborating with a group of highly skilled and driven individuals, who thrive on building a great business and company culture. Responsibilities: Maintain financial + business KPI reporting (daily/weekly/monthly) for managerial decisioning Analyze trends and present insights to senior management team Work with department heads to surface critical business trends and actionable opportunities to drive growth Perform ongoing holistic performance assessments to dictate strategy Develop appropriate performance goals for the business and key personnel Own annual and quarterly budget and forecast processes Develop and maintain reporting packages for the board of directors, investor relations, and ",Full-time,"Seeking strategic Finance Director to support our lean FP&amp;amp;A team. Reporting to the CFO, this individual will help enable data-driven decisioning across the business. Significant first-hand engagement with the full C-suite of a Nasdaq-listed pub...",1738281600,"A minimum of 8+ years of Financial Analysis experience; Investment banking, consulting, or FP&amp;A experience preferred; Advanced Excel, database management, and PowerPoint skills; Experience developing and maintaining three statement financial models; Effective at communicating with leaders with varying degrees of financial acumen; Strong curiosity and interest in digital marketing, tech, media; Bachelor’s degree required, preferably in Accounting or Finance; A self-starter with excellent work ethic and stellar communication skills; An ability to take on a diverse array of projects",Database Developer,https://jobs.workable.com/view/5B1rEKTx8XEPzdyRejGjQg/hybrid-director-of-financial-planning-%26-analysis-(fp%26a)-in-new-york-at-fluent%2C-llc
,"The Community FoodBank of New Jersey (CFBNJ) is the largest anti-hunger, anti-poverty organization in the state, where nearly one million neighbors, including 1 in 8 children, struggle with the emptiness caused by hunger. We are the lead source of nourishing food for 800 pantries serving everyone from infants to college students to families and seniors. Our comprehensive approach addresses the root causes of hunger through food benefits and social services, job training and certification, local farm partnerships, and food policies that nurture all New Jerseyans. By providing food, help, and hope, we are building a food secure future for New Jersey. CFBNJ is a proud member of Feeding America®. ","Hillside, New Jersey, United States",https://workablehr.s3.amazonaws.com/uploads/account/logo/608934/logo,Community FoodBank of New Jersey,http://cfbnj.org,IT,"Join our team and become a part of something bigger, a force for change in the fight against hunger. The Community FoodBank of New Jersey (CFBNJ) is more than just a food bank. We champion healthier lifestyles and positively impact social and economic change. Together we can create a stronger, more resilient New Jersey for everyone! As a Senior Programmer Analyst, you will provide and run support for our Microsoft Business Central ERP eco-system. You will use your expertise in systems analysis and solution design to support the delivery of technology initiatives across the organization. This role focuses on systems and applications at the enterprise level and requires skills in gathering requirements, process mapping, critical thinking, problem-solving, solution design, programming, and debugging code as well as data analysis and functional ERP knowledge. What you’ll do in your role: Gather and write business requirements for assigned business units, diagraming current and future state process. Translate business needs into key functional documentation and create and deliver appropriate training and communication around discoveries. Turn functional specifications into technical specifications and system designs. Start the design, coding, testing, and releasing the code in Dynamics 365 Business Central environment. Develop recommendations and strategic approaches based on key findings, anticipating and communicating risks. Build and execute test plans of changes and new development including creating test scenarios, execution of unit testing, integration testing and user acceptance testing. Facilitate discussions around meeting requirements through build, buy, or configure decisions. For defined initiatives, function as project manager including planning, discovery, development, testing, refinement, and deployment of technical solutions. Manage break/fix activities in support of our ERP environment. Why you’ll love working at CFBNJ: The salary range for this position is $94, 500-$128, 000. The final rate may be influenced by factors such as the position's scope and responsibilities, work experience, training, job-related skills, internal equity, and market conditions. Opportunity for impact: Last year we provided over 90 million nutritious meals across New Jersey and educated over 25, 000 people about health and nutrition. Balance: Generous time off, 14 paid holidays, childcare resources, and organization wide engagement days. Financial Wellness: 401k with a 4% company match after 1 year. Health Benefits: medical, dental, vision and wellness programs Recognition and Certifications: learning opportunities, tuition and certificate reimbursement, and engagement with our reward and recognition program, Bonusly! What you’ll need to be successful in this role: Bachelor’s degree in a business, technical, scientific, or related discipline with at least 5 years of work experience with MS Dynamics Business Central or MS Dynamics NAV 2013 and higher version or 13 years of work experience with MS Dynamics Business Central or MS Dynamics NAV 2013 and higher version and at least 5 years of experience in a programmer analyst or developer role SQL Server database experience Proficient in client-side and server-side debugging Experience with upgrading ERP systems Experience with systems development life cycle activities to manage, plan, design, implement, test, and deliver information systems and strategies Experience leading the systems solutions discussions Ability to develop relationships with stakeholders and to understand their needs through excellent listening and effective written and verbal communication The salary range for this position is $94, 500-$128, 000. The final rate may be influenced by factors such as the position's scope and responsibilities, work experience, training, job-related skills, internal equity, and market conditions. CFBNJ is an equal employment opportunity employer and is committed to complying with all applicable laws prohibiting discrimination based on race, religion, color, national or ethnic origin, age, sex , sexual orientation, gender identity or expression, transgender status, marital status, domestic partnership or civil union status, pregnancy or breastfeeding, disability, being a victim of domestic violence, status in the uniformed services of the United States (including veteran status), justice involved, as well as any other category protected by federal, state or local laws. ",Full-time,"Join our team and become a part of something bigger, a force for change in the fight against hunger. The Community FoodBank of New Jersey (CFBNJ) is more than just a food bank. We champion healthier lifestyles and positively impact social and economic ...",1737072000,,Database Developer,https://jobs.workable.com/view/vC8FouRe8t8bvZzTE1z8yP/hybrid-senior-programmer-analyst-in-hillside-at-community-foodbank-of-new-jersey
"Significant career development opportunities exist as the company grows. The position offers a unique opportunity to be part of a small, fast-growing, challenging and entrepreneurial environment, with a high degree of individual responsibility.",,"TELECOMMUTE; New York, New York, United States",,Tiger Analytics,http://www.tigeranalytics.com,Consulting,"Tiger Analytics is an advanced analytics consulting firm. We are the trusted analytics partner for several Fortune 100 companies, enabling them to generate business value from data. Our consultants bring deep expertise in Data Science, Data Analytics, Data Engineering, Business Intelligence, Machine Learning and AI. Our business value and leadership has been recognized by various market research firms, including Forrester and Gartner. The Tiger Analytics team is looking for a highly skilled and experienced Senior Tableau Developer with over 8 years of hands-on experience in designing and developing intuitive business reports. The ideal candidate will possess a strong sense of data representation and user experience, ensuring that our business intelligence solutions are both insightful and user-friendly. You will work closely with the IT and Business Teams to provide support and identify opportunities for system and process improvements. Job Duties: Analyze business requirements and work with business stakeholders Communicate data architecture to development teams Design and Development: Create, design, and develop advanced Tableau reports, dashboards, and visualizations that meet business requirements and enhance decision-making processes. Data Analysis: Conduct detailed data analysis to understand business requirements and translate them into effective Tableau visualizations. User Experience: Focus on improving user experience by designing intuitive, easy-to-navigate dashboards and reports that effectively communicate key insights. Collaboration: Work closely with business stakeholders, data analysts, and other team members to gather requirements and deliver high-quality BI solutions. Performance Optimization: Optimize Tableau workbooks and SQL queries for performance and efficiency. ",,"Tiger Analytics is an advanced analytics consulting firm. We are the trusted analytics partner for several Fortune 100 companies, enabling them to generate business value from data. Our consultants bring deep expertise in Data Science, Data Analytics, ...",1720396800,"Bachelor's or Master's degree in Computer Science, Analytics, or a related field, or equivalent skills and experience; 8-10 years of experience in developing, maintaining, and managing Tableau dashboards and analytics, with knowledge of Tableau administration/architecture; Strong understanding of SQL and relational database design and implementation; Technical Expertise: In-depth knowledge of Tableau's capabilities, techniques, and standards for creating dashboards and reports; CPG or Retail experience preferred; Experience working on large datasets, Experience with Databricks and Snowflake; Experience going beyond number-crunching, reports, and dashboard creation -- ability to understand the business impact of the data and make recommendations based on your findings; Experience with tools and concepts related to data and analytics, such as dimensional modeling, ETL, reporting tools, data governance, data warehousing, structured and unstructured data; Consulting experience highly preferred",Database Developer,https://jobs.workable.com/view/dGvNgpAANhsTaNYfxt1UR1/remote-senior-tableau-developer-in-new-york-at-tiger-analytics
,"Scopeworker is an enterprise SaaS. It digitalizes the Procure-Execute-Pay lifecycle of supplier services for critical infrastructure. The automation enables significant cost, time and quality efficiencies for both buyers and suppliers and enables a live situational awareness of procurement, finance, operations and other stakeholders departments. Scopeworker can be used standalone or as a digital layer over the top of Oracle, SAP or Microsoft Dynamics ERPs. Scopeworker processes billions of dollars of services each year for the Fortune 100. See our explainer video. ","New York, New York, United States",https://workablehr.s3.amazonaws.com/uploads/account/logo/615410/logo,Scopeworker,http://scopeworker.com,,"Qualifications Bachelor's or Master’s degree in Computer Science or similar (PhDs will be given preference) 7+ years of experience in full-stack development; from UI to backend systems Full proficiency in Angular. JS and / or Angular 2+ (Angular 17) Full proficiency in Node. JS and JavaScript ES6+; Experience with NestJS is preferred but not necessary Proficiency in relational databases is necessary Experience with management tools like Jira and Confluence A good working proficiency in verbal and written English About this JobScopeworker’s software engineers are developing a next generation, enterprise platform. We are looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile. As a software engineer, you will work on a specific project critical to the Scopeworker platform with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward. With your technical expertise you will manage project priorities, deadlines, and deliverables. You will design, develop, test, deploy, maintain, and enhance Scopeworker’s software. About ScopeworkerScopeworker is an enterprise SaaS. It digitalizes the Procure-Execute-Pay lifecycle of supplier services for critical infrastructure. The automation enables significant cost, time and quality efficiencies for both buyers and suppliers and enables a live situational awareness of procurement, finance, operations and other stakeholders departments. Scopeworker can be used standalone or as a digital layer over the top of Oracle, SAP or Microsoft Dynamics ERPs. Scopeworker processes billions of dollars of services each year for the Fortune 100. See our explainer video. ",,Qualifications Bachelor&#39;s or Master’s degree in Computer Science or similar (PhDs will be given preference) 7+ years of experience in full-stack development; from UI to backend systems Full proficiency in Angular.JS and / or Angular 2+ (Angular 17)...,1735516800,,Database Developer,https://jobs.workable.com/view/7TTN2Hjo1TdQWu7rVCQJgg/hybrid-senior-full-stack-engineer-in-new-york-at-scopeworker
"Significant career development opportunities exist as the company grows. The position offers a unique opportunity to be part of a small, challenging, and entrepreneurial environment, with a high degree of individual responsibility.",,"TELECOMMUTE; Jersey City, New Jersey, United States",,Tiger Analytics,http://www.tigeranalytics.com,Data Engineering,"Tiger Analytics is a fast-growing advanced analytics consulting firm. Our consultants bring deep expertise in Data Science, Machine Learning and AI. We are the trusted analytics partner for several Fortune 100 companies, enabling them to generate business value from data. Our business value and leadership has been recognized by various market research firms, including Forrester and Gartner. We are looking for top-notch talent as we continue to build the best analytics global consulting team in the world. We are seeking an experienced Data Engineer to join our data team. As a Data Engineer, you will be responsible for designing, building, and maintaining data pipelines, data integration processes, and data infrastructure using Dataiku. You will collaborate closely with data scientists, analysts, and other stakeholders to ensure efficient data flow and support data-driven decision making across the organization. ",Full-time,"Tiger Analytics is a fast-growing advanced analytics consulting firm. Our consultants bring deep expertise in Data Science, Machine Learning and AI. We are the trusted analytics partner for several Fortune 100 companies, enabling them to generate busin...",1735862400,"8+ years of overall industry experience specifically in data engineering; Strong knowledge of data engineering principles, data integration, and data warehousing concepts.; Strong understanding of the pharmaceutical/ Life Science domain, including knowledge of patient data, Commercial data, drug development processes, and healthcare data.; Proficiency in data engineering technologies and tools, such as SQL, Python, ETL frameworks, data integration platforms, and data warehousing solutions.; Experience with data modeling, database design, and data architecture principles.; Familiarity with big data technologies (e.g., Hadoop, Spark) and cloud platforms - AWS, Azure; Strong analytical and problem-solving skills, with the ability to work with large and complex datasets.; Strong communication and collaboration abilities.; Attention to detail and a focus on delivering high-quality work.",Database Developer,https://jobs.workable.com/view/aFeEbCbjYF9YyirVNEceNr/remote-senior-data-engineer-in-jersey-city-at-tiger-analytics
